PyScript,Memory(MB),Time(s),Energy(Joule)
example.py,95.191406,1.690,4.6012428990825684
plot_face_recognition.py,169.546875,29.018,1589.9587225473165
plot_outlier_detection_wine.py,175.953125,1.691,25.67711637668919
plot_out_of_core_classification.py,169.808594,23.949,222.4827391594477
plot_prediction_latency.py,174.386719,13.999,94.25271091046183
plot_species_distribution_modeling.py,499.085938,7.900,74.01347322542672
plot_stock_market.py,180.746094,28.502,98.75304883613445
plot_topics_extraction_with_nmf_lda.py,236.84375,12.797,97.26297307692309
plot_bicluster_newsgroups.py,208.949219,16.034,464.5821183567568
plot_spectral_coclustering.py,151.878906,0.396,15.093375132743363
plot_calibration_curve.py,211.589844,2.916,29.679734464285712
plot_calibration_multiclass.py,155.335938,1.468,16.78078771662125
plot_calibration.py,153.007812,0.342,40.75658801136364
plot_compare_calibration.py,185.949219,1.523,18.226535087323946
plot_classification_probability.py,203.21875,2.459,250.64781645846904
plot_classifier_comparison.py,275.640625,7.308,68.17720367845659
plot_lda_qda.py,148.527344,0.561,10.02653414141414
plot_adjusted_for_chance_measures.py,133.074219,1.522,18.658384607655503
plot_affinity_propagation.py,148.996094,0.693,12.130309428571426
plot_agglomerative_clustering.py,165.15625,2.094,24.791322721915282
plot_agglomerative_dendrogram.py,145.644531,0.024,9.431430302439024
plot_birch_vs_minibatchkmeans.py,280.328125,24.155,149.3485551542095
plot_coin_segmentation.py,167.730469,8.474,161.46254583696899
plot_coin_ward_segmentation.py,158.617188,0.647,13.125488727272728
plot_color_quantization.py,283.992188,1.761,16.746316935810814
plot_dbscan.py,146.53125,0.055,9.112374150537635
plot_dict_face_patches.py,186.074219,11.464,52.94250386329866
plot_digits_agglomeration.py,148.929688,1.914,10.830704051282051
plot_digits_linkage.py,349.992188,35.930,771.8489709298821
plot_face_compress.py,205.199219,3.872,27.616509284369116
plot_feature_agglomeration_vs_univariate_selection.py,150.644531,2.285,8.417717457142857
plot_inductive_clustering.py,349.398438,3.547,99.03862172292993
plot_kmeans_assumptions.py,146.628906,1.803,11.814461689655172
plot_kmeans_digits.py,592.320312,4.639,27.2730253625
plot_kmeans_silhouette_analysis.py,154.3125,3.137,15.184527091525425
plot_kmeans_stability_low_dim_dense.py,143.757812,12.245,55.31321764285715
plot_linkage_comparison.py,174.773438,3.749,26.29713214285714
plot_mean_shift.py,145.8125,2.177,13.029430413194445
plot_mini_batch_kmeans.py,146.6875,1.794,10.207564845454547
plot_optics.py,148.078125,3.470,19.33596878995434
plot_segmentation_toy.py,148.292969,2.592,17.72434475982533
plot_ward_structured_vs_unstructured.py,151.261719,1.898,10.763650557077625
plot_column_transformer_mixed_types.py,111.050781,5.461,31.333594114525145
plot_column_transformer.py,189.066406,4.571,36.735927566248264
plot_compare_reduction.py,149.191406,16.124,811.5595291240476
plot_digits_pipe.py,175.273438,26.241,27710.701240766917
plot_feature_union.py,84.054688,2.089,9.608801615023475
plot_transformed_target.py,196.328125,5.021,27.691388735294115
plot_covariance_estimation.py,138.628906,2.503,127.6963958015625
plot_lw_vs_oas.py,137.660156,5.345,34.80984062256809
plot_robust_vs_empirical_covariance.py,138.117188,6.478,35.990089785276076
plot_sparse_cov.py,144.472656,3.193,58.14472981074169
plot_compare_cross_decomposition.py,133.1875,1.598,8.507857805714284
plot_pcr_vs_pls.py,143.945312,2.268,10.771002624454148
plot_digits_last_image.py,138.011719,1.847,48.80884313168724
plot_iris_dataset.py,141.242188,1.828,8.662560197916667
plot_random_dataset.py,135.539062,1.721,9.14297625
plot_random_multilabel_dataset.py,134.332031,1.655,8.527762889502762
plot_beta_divergence.py,136.726562,2.084,10.155679956331877
plot_faces_decomposition.py,226.128906,14.277,979.0981109802487
plot_ica_blind_source_separation.py,145.0,2.550,10.11163851627907
plot_ica_vs_pca.py,142.949219,1.968,9.161190466321242
plot_image_denoising.py,324.398438,61.207,377.98427198446507
plot_incremental_pca.py,140.546875,1.870,8.829775185185184
plot_kernel_pca.py,160.429688,2.859,15.155477683018868
plot_pca_vs_fa_model_selection.py,144.789062,116.971,2006.8895161821229
plot_pca_vs_lda.py,141.332031,1.792,8.29727414054054
plot_sparse_coding.py,150.796875,2.504,43.17959928143713
plot_adaboost_hastie_10_2.py,146.671875,8.550,63.05076559751644
plot_adaboost_multiclass.py,148.722656,18.595,493.8204086865128
plot_adaboost_regression.py,141.804688,2.158,11.111071431906614
plot_adaboost_twoclass.py,178.832031,5.772,35.574670000000005
plot_bias_variance.py,147.589844,3.136,17.67489075
plot_ensemble_oob.py,146.691406,22.110,165.01151473296935
plot_feature_transformation.py,192.617188,5.283,162.04321490874162
plot_forest_importances_faces.py,182.625,3.676,23.690696785454545
plot_forest_importances.py,178.671875,4.811,21.80827441647597
plot_forest_iris.py,228.410156,12.204,68.31106663043478
plot_gradient_boosting_categorical.py,191.054688,21.611,212.23892753966788
plot_gradient_boosting_early_stopping.py,149.085938,76.161,439.6672364431223
plot_gradient_boosting_oob.py,144.1875,7.319,47.07057223318386
plot_gradient_boosting_regularization.py,144.917969,33.528,202.36415401714407
plot_isolation_forest.py,142.441406,2.241,11.762355173228347
plot_voting_decision_regions.py,146.3125,2.721,11.10356729527559
plot_voting_probas.py,143.53125,2.374,11.434311000000001
plot_voting_regressor.py,152.269531,2.597,14.82867348136646
plot_digits_classification_exercise.py,92.355469,1.545,10.174786206896552
plot_iris_exercise.py,146.132812,8.803,37.48644907183581
plot_feature_selection_pipeline.py,82.773438,1.042,5.914681343999999
plot_feature_selection.py,142.28125,1.870,51.41949183463035
plot_f_test_vs_mi.py,139.136719,1.660,8.59249324590164
plot_rfe_with_cross_validation.py,142.238281,3.997,26.25383042372881
plot_select_from_model_diabetes.py,141.730469,39.693,181.6354235748631
plot_compare_gpr_krr.py,156.636719,11.025,76.72879132876712
plot_gpc_iris.py,474.511719,8.280,548.4744185353736
plot_gpc_isoprobability.py,136.34375,1.746,11.439662953586499
plot_gpc.py,135.332031,5.741,104.21763869281045
