PyScript,Memory,Time on local(s),Time on Jetson(s)
example.py,95.191406,1.690,1.543879747390747
plot_face_recognition.py,169.546875,29.018,74.02615070343018
plot_outlier_detection_wine.py,175.953125,1.691,5.596277236938477
plot_out_of_core_classification.py,169.808594,23.949,31.786230087280273
plot_prediction_latency.py,174.386719,13.999,22.793380975723267
plot_species_distribution_modeling.py,499.085938,7.900,16.213085174560547
plot_stock_market.py,180.746094,28.502,67.33334517478943
plot_tomography_l1_reconstruction.py,147.027344,11.199,16.2820782661438
plot_topics_extraction_with_nmf_lda.py,236.84375,12.797,25.066385984420776
plot_bicluster_newsgroups.py,208.949219,16.034,23.58123230934143
plot_spectral_biclustering.py,152.792969,1.081,3.79789662361145
plot_spectral_coclustering.py,151.878906,0.396,2.9037489891052246
plot_calibration_curve.py,211.589844,2.916,6.824389934539795
plot_calibration_multiclass.py,155.335938,1.468,4.295565843582153
plot_calibration.py,153.007812,0.342,2.761359453201294
plot_compare_calibration.py,185.949219,1.523,4.611581563949585
plot_classification_probability.py,203.21875,2.459,59.19418406486511
plot_classifier_comparison.py,275.640625,7.308,32.07509183883667
plot_lda.py,141.445312,13.741,84.7324013710022
plot_lda_qda.py,148.527344,0.561,2.742159843444824
plot_adjusted_for_chance_measures.py,133.074219,1.522,5.019662618637085
plot_affinity_propagation.py,148.996094,0.693,3.236726999282837
plot_agglomerative_clustering.py,165.15625,2.094,6.63729453086853
plot_agglomerative_clustering_metrics.py,184.839844,1.154,3.763737916946411
plot_agglomerative_dendrogram.py,145.644531,0.024,2.4832425117492676
plot_birch_vs_minibatchkmeans.py,280.328125,24.155,39.01285195350647
plot_coin_segmentation.py,167.730469,8.474,1.2977755069732666
plot_coin_ward_segmentation.py,158.617188,0.647,1.287522315979004
plot_color_quantization.py,283.992188,1.761,4.290578365325928
plot_dbscan.py,146.53125,0.055,2.486614942550659
plot_dict_face_patches.py,186.074219,11.464,28.37677574157715
plot_digits_agglomeration.py,148.929688,1.914,3.0206565856933594
plot_digits_linkage.py,349.992188,35.930,589.00399518013
plot_face_compress.py,205.199219,3.872,5.784513473510742
plot_feature_agglomeration_vs_univariate_selection.py,150.644531,2.285,11.945065259933472
plot_inductive_clustering.py,349.398438,3.547,6.240028619766235
plot_kmeans_assumptions.py,146.628906,1.803,2.9475584030151367
plot_kmeans_digits.py,592.320312,4.639,6.767715930938721
plot_kmeans_plusplus.py,145.324219,1.507,2.452463388442993
plot_kmeans_silhouette_analysis.py,154.3125,3.137,4.335677623748779
plot_kmeans_stability_low_dim_dense.py,143.757812,12.245,15.791841983795166
plot_linkage_comparison.py,174.773438,3.749,7.261877536773682
plot_mean_shift.py,145.8125,2.177,3.4289443492889404
plot_mini_batch_kmeans.py,146.6875,1.794,3.147658348083496
plot_optics.py,148.078125,3.470,5.525530576705933
plot_segmentation_toy.py,148.292969,2.592,13.915705442428589
plot_ward_structured_vs_unstructured.py,151.261719,1.898,2.965167999267578
plot_column_transformer_mixed_types.py,111.050781,5.461,8.792197704315186
plot_column_transformer.py,189.066406,4.571,9.765198707580566
plot_compare_reduction.py,149.191406,16.124,43.704708099365234
plot_digits_pipe.py,175.273438,26.241,30.920650243759155
plot_feature_union.py,84.054688,2.089,2.807128429412842
plot_transformed_target.py,196.328125,5.021,7.641090631484985
plot_covariance_estimation.py,138.628906,2.503,6.069089412689209
plot_lw_vs_oas.py,137.660156,5.345,34.83740448951721
plot_mahalanobis_distances.py,139.824219,2.340,2.5319368839263916
plot_robust_vs_empirical_covariance.py,138.117188,6.478,8.308593034744263
plot_sparse_cov.py,144.472656,3.193,15.03949236869812
plot_compare_cross_decomposition.py,133.1875,1.598,2.4764201641082764
plot_pcr_vs_pls.py,143.945312,2.268,2.8995962142944336
plot_digits_last_image.py,138.011719,1.847,2.4255027770996094
plot_iris_dataset.py,141.242188,1.828,2.4872641563415527
plot_random_dataset.py,135.539062,1.721,2.4872336387634277
plot_random_multilabel_dataset.py,134.332031,1.655,2.4078457355499268
plot_beta_divergence.py,136.726562,2.084,2.9351205825805664
plot_faces_decomposition.py,226.128906,14.277,74.12089729309082
plot_ica_blind_source_separation.py,145.0,2.550,2.860891580581665
plot_ica_vs_pca.py,142.949219,1.968,2.669947385787964
plot_image_denoising.py,324.398438,61.207,70.19543886184692
plot_incremental_pca.py,140.546875,1.870,2.3909473419189453
plot_kernel_pca.py,160.429688,2.859,6.083918809890747
plot_pca_vs_fa_model_selection.py,144.789062,116.971,2024.7887814044952
plot_pca_vs_lda.py,141.332031,1.792,2.4846315383911133
plot_sparse_coding.py,150.796875,2.504,3.946176767349243
plot_varimax_fa.py,148.574219,3.036,4.729376792907715
plot_adaboost_hastie_10_2.py,146.671875,8.550,14.13990068435669
plot_adaboost_multiclass.py,148.722656,18.595,25.933574676513672
plot_adaboost_regression.py,141.804688,2.158,3.3182027339935303
plot_adaboost_twoclass.py,178.832031,5.772,7.339212656021118
plot_bias_variance.py,147.589844,3.136,4.674529552459717
plot_ensemble_oob.py,146.691406,22.110,39.39651370048523
plot_feature_transformation.py,192.617188,5.283,9.714203119277954
plot_forest_importances_faces.py,182.625,3.676,5.8780131340026855
plot_forest_importances.py,178.671875,4.811,7.8652918338775635
plot_forest_iris.py,228.410156,12.204,17.24583625793457
plot_gradient_boosting_categorical.py,191.054688,21.611,38.835039377212524
plot_gradient_boosting_early_stopping.py,149.085938,76.161,93.22998929023743
plot_gradient_boosting_oob.py,144.1875,7.319,12.104456901550293
plot_gradient_boosting_regularization.py,144.917969,33.528,41.82721018791199
plot_isolation_forest.py,142.441406,2.241,3.390937089920044
plot_monotonic_constraints.py,145.367188,2.809,5.061285972595215
plot_random_forest_regression_multioutput.py,151.339844,2.868,3.5721263885498047
plot_stack_predictors.py,177.835938,52.071,48.7775342464447
plot_voting_decision_regions.py,146.3125,2.721,3.1641547679901123
plot_voting_probas.py,143.53125,2.374,3.097729444503784
plot_voting_regressor.py,152.269531,2.597,4.170616149902344
plot_cv_diabetes.py,139.820312,2.330,3.669053554534912
plot_cv_digits.py,140.085938,9.008,25.759891748428345
plot_digits_classification_exercise.py,92.355469,1.545,3.6314313411712646
plot_iris_exercise.py,146.132812,8.803,8.828739881515503
plot_feature_selection_pipeline.py,82.773438,1.042,1.7485623359680176
plot_feature_selection.py,142.28125,1.870,2.445829391479492
plot_f_test_vs_mi.py,139.136719,1.660,2.4453775882720947
plot_permutation_test_for_classification.py,142.785156,47.940,134.05574703216553
plot_rfe_digits.py,142.957031,5.869,12.303788185119629
plot_rfe_with_cross_validation.py,142.238281,3.997,6.89943265914917
plot_select_from_model_diabetes.py,141.730469,39.693,45.63365697860718
plot_compare_gpr_krr.py,156.636719,11.025,146.7293565273285
plot_gpc_iris.py,474.511719,8.280,154.062481880188
plot_gpc_isoprobability.py,136.34375,1.746,3.03788161277771
plot_gpc.py,135.332031,5.741,427.8725652694702
plot_gpc_xor.py,152.398438,2.669,38.073588609695435
plot_gpr_noisy.py,146.085938,8.363,42.74342107772827
plot_gpr_noisy_targets.py,135.304688,2.085,5.888418436050415
plot_gpr_on_structured_data.py,135.246094,1.820,2.4557831287384033
plot_gpr_prior_posterior.py,155.035156,3.418,6.836449861526489
plot_iterative_imputer_variants_comparison.py,307.078125,31.091,44.765525102615356
plot_missing_values.py,148.445312,32.350,43.75837230682373
plot_linear_model_coefficient_interpretation.py,203.195312,13.041,1.6398284435272217
plot_partial_dependence.py,220.867188,48.364,129.05060005187988
plot_permutation_importance_multicollinear.py,162.898438,9.853,14.132768869400024
plot_permutation_importance.py,190.6875,8.029,14.129178524017334
plot_scalable_poly_kernels.py,2521.316406,44.987,42.010152101516724
plot_ard.py,140.265625,2.236,8.050899267196655
plot_bayesian_ridge_curvefit.py,141.191406,2.531,3.2974607944488525
plot_bayesian_ridge.py,139.589844,2.380,3.099480152130127
plot_elastic_net_precomputed_gram_matrix_with_weighted_samples.py,529.011719,2.388,3.4611904621124268
plot_huber_vs_ridge.py,139.582031,1.896,2.4108896255493164
plot_iris_logistic.py,140.199219,1.821,2.4192471504211426
plot_lasso_and_elasticnet.py,136.097656,1.615,2.285264015197754
plot_lasso_coordinate_descent_path.py,139.773438,1.947,2.697035551071167
plot_lasso_dense_vs_sparse_data.py,126.4375,4.874,6.615380525588989
plot_lasso_lars.py,139.25,3.089,2.346282482147217
plot_lasso_model_selection.py,141.71875,2.859,3.9673011302948
plot_logistic_l1_l2_sparsity.py,142.511719,2.673,4.016196250915527
plot_logistic_multinomial.py,165.273438,1.866,2.6707215309143066
plot_logistic_path.py,138.4375,1.734,2.530430316925049
plot_logistic.py,137.714844,1.909,2.3984827995300293
plot_multi_task_lasso_support.py,136.496094,1.831,2.3898026943206787
plot_nnls.py,136.640625,1.658,2.23392915725708
plot_ols_3d.py,141.191406,1.989,2.6530959606170654
plot_ols.py,138.765625,1.651,2.363345146179199
plot_ols_ridge_variance.py,139.109375,2.129,2.6774284839630127
plot_omp.py,143.476562,2.308,3.317610502243042
plot_poisson_regression_non_normal_loss.py,895.304688,70.587,112.23139595985413
plot_ransac.py,139.742188,2.029,2.366962432861328
plot_ridge_coeffs.py,139.65625,2.222,3.6566708087921143
plot_ridge_path.py,136.679688,1.803,3.001950263977051
plot_robust_fit.py,174.554688,5.171,8.693719387054443
plot_sgd_comparison.py,146.117188,24.630,40.108120918273926
plot_sgd_iris.py,144.371094,2.790,2.4600493907928467
plot_sgd_loss_functions.py,94.210938,0.914,1.1432363986968994
plot_sgd_penalties.py,151.820312,1.082,1.4512825012207031
plot_sgd_separating_hyperplane.py,138.574219,1.806,0.11320161819458008
plot_sgd_separating_hyperplane.py,138.574219,1.806,2.5384726524353027
plot_sgd_weighted_samples.py,151.238281,1.680,2.281053066253662
plot_sparse_logistic_regression_20newsgroups.py,295.738281,18.561,33.49427843093872
plot_sparse_logistic_regression_mnist.py,955.570312,27.263,51.066582441329956
plot_theilsen.py,153.261719,2.279,4.252211809158325
plot_tweedie_regression_insurance_claims.py,712.394531,38.470,66.28550004959106
plot_compare_methods.py,224.351562,14.599,29.68864393234253
plot_lle_digits.py,379.46875,33.927,365.1831500530243
plot_manifold_sphere.py,178.175781,9.021,15.366961002349854
plot_mds.py,142.265625,1.660,3.3850479125976562
plot_swissroll.py,145.792969,1.974,12.582308530807495
plot_t_sne_perplexity.py,153.210938,17.267,0.11347723007202148
plot_t_sne_perplexity.py,153.210938,17.267,21.57808518409729
plot_changed_only_pprint_parameter.py,76.617188,0.910,1.5596637725830078
plot_display_object_visualization.py,160.222656,2.235,3.1425087451934814
plot_isotonic_regression.py,138.050781,1.648,2.3259074687957764
plot_johnson_lindenstrauss_bound.py,291.5625,20.977,46.20278024673462
plot_kernel_approximation.py,163.464844,4.167,6.865054607391357
plot_kernel_ridge_regression.py,1705.910156,47.267,71.2054374217987
plot_multilabel.py,142.207031,2.311,2.694943904876709
plot_multioutput_face_completion.py,323.679688,5.478,20.71488308906555
plot_partial_dependence_visualization_api.py,179.085938,8.011,30.602168083190918
plot_roc_curve_visualization_api.py,143.828125,1.819,2.4593963623046875
plot_concentration_prior.py,148.085938,15.564,20.960391998291016
plot_gmm_covariances.py,148.046875,1.915,2.7629406452178955
plot_gmm_pdf.py,144.253906,1.849,2.528243064880371
plot_gmm.py,144.277344,1.900,2.7469234466552734
plot_gmm_selection.py,143.402344,2.766,3.083022117614746
plot_gmm_sin.py,146.769531,2.471,3.264540672302246
grid_search_text_feature_extraction.py,173.597656,44.060,0.12473058700561523
grid_search_text_feature_extraction.py,173.597656,44.060,52.935243129730225
plot_cv_predict.py,140.070312,2.067,2.483656406402588
plot_det.py,144.785156,1.748,2.707721710205078
plot_grid_search_digits.py,86.414062,4.766,12.600461959838867
plot_grid_search_refit_callable.py,147.21875,9.007,38.40419363975525
plot_grid_search_stats.py,167.929688,3.997,1.226393222808838
plot_learning_curve.py,148.023438,11.891,15.420516967773438
plot_multi_metric_evaluation.py,144.394531,29.728,41.24538588523865
plot_nested_cross_validation_iris.py,140.125,10.288,0.0651557445526123
plot_nested_cross_validation_iris.py,140.125,10.288,17.25776767730713
plot_precision_recall.py,143.761719,1.681,2.5715320110321045
plot_randomized_search.py,86.757812,155.138,472.7009699344635
plot_roc_crossval.py,142.390625,1.762,0.12891483306884766
plot_roc_crossval.py,142.390625,1.762,3.1073315143585205
plot_roc.py,143.21875,1.817,2.6613430976867676
plot_successive_halving_heatmap.py,165.808594,12.190,23.049957275390625
plot_successive_halving_iterations.py,170.84375,19.658,30.367192029953003
plot_train_error_vs_test_error.py,138.035156,4.765,11.32680869102478
plot_underfitting_overfitting.py,137.960938,1.814,2.449676513671875
plot_validation_curve.py,142.960938,11.831,31.542495489120483
plot_classifier_chain_yeast.py,185.425781,7.878,56.8303062915802
plot_caching_nearest_neighbors.py,161.542969,4.702,6.74008846282959
plot_classification.py,181.082031,4.859,1.1931328773498535
plot_digits_kde_sampling.py,176.726562,9.499,15.04604959487915
plot_kde_1d.py,142.007812,1.947,2.834977865219116
plot_lof_novelty_detection.py,183.390625,2.699,3.42879056930542
plot_lof_outlier_detection.py,138.175781,1.502,0.11281633377075195
plot_lof_outlier_detection.py,138.175781,1.502,2.4122579097747803
plot_nca_classification.py,200.835938,54.399,75.22096562385559
plot_nca_dim_reduction.py,177.316406,4.869,8.50487232208252
plot_nca_illustration.py,142.820312,1.995,2.6148576736450195
plot_nearest_centroid.py,147.496094,1.805,2.4716408252716064
plot_regression.py,140.355469,1.933,2.583730459213257
plot_species_kde.py,198.390625,6.690,14.763006687164307
plot_mlp_alpha.py,377.621094,34.882,128.10306811332703
plot_mlp_training_curves.py,145.378906,8.951,34.57899188995361
plot_rbm_logistic_classification.py,182.5,18.094,24.240590810775757
plot_all_scaling.py,208.234375,10.638,15.857232809066772
